paris is the capital of [MASK].	france
the currency used in japan is the [MASK].	yen
the largest planet in our solar system is [MASK].	jupiter
the chemical symbol for water is [MASK].	h2o
google is primarily known as a [MASK] company.	technology
the sport played in the nba is [MASK].	basketball
the sport played in the nfl is [MASK].	football
the sport played in major league baseball is [MASK].	baseball
the capital city of the united states is [MASK].	washington
the capital of the united kingdom is [MASK].	london
apple is known for making the [MASK] smartphone.	iphone
tesla is an automaker that focuses on [MASK] vehicles.	electric
amazon was originally famous as an online [MASK].	bookstore
the main language spoken in brazil is [MASK].	portuguese
the first month of the year is [MASK].	january
the device used to browse the web is a [MASK].	computer
students typically attend [MASK] to earn a degree.	university
google's mobile operating system is called [MASK].	android
the operating system developed by microsoft is [MASK].	windows
facebook is a popular [MASK] media platform.	social
